Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2018-01-01,51.93936538696289,52.64066759780138,51.867804939681605,52.38304671176146,8166816
2018-01-02,51.99662399291992,52.56911751148614,51.739003056104906,52.23993283745788,11789442
2018-01-03,51.81056594848633,52.55480788512567,51.75331757669195,52.09681108328633,8387208
2018-01-04,51.538631439208984,52.06818541488556,51.43844679142131,51.83918865840002,13893633
2018-01-05,52.182682037353516,52.52617551182882,51.753312737388555,51.810561103829805,10396050
2018-01-08,52.6836051940918,53.0127898115376,52.297175493205366,52.54048429592178,12205740
2018-01-09,52.25423812866211,52.95554038644491,52.19698976700494,52.95554038644491,7031151
2018-01-10,51.51000213623047,52.59773744041934,51.295317493616515,52.282864884144104,11870301
2018-01-11,51.238067626953125,51.810561119016825,51.094946710808046,51.552940194127885,11858856
2018-01-12,50.95182418823242,51.55294188322029,50.39364604532275,51.467069330719696,9999291
2018-01-15,51.123573303222656,51.52431843896948,50.894576550771326,51.094949118644735,8986140
2018-01-16,49.57783889770508,51.180815986792545,49.406090533488815,51.0949434425982,13604358
2018-01-17,50.39364242553711,50.60832706719565,47.80311135875148,49.52058849201986,14795268
2018-01-18,48.976722717285156,50.923196592687546,48.38991715369121,50.436578942793865,9535365
2018-01-19,49.44903564453125,49.635096132704625,48.6904848744086,49.16279050355661,5545041
2018-01-22,50.20758819580078,50.3507091241133,49.334537429782124,49.63509465506649,7885137
2018-01-23,50.007205963134766,50.70850820391752,49.749585066094916,50.37932358071346,13850478
2018-01-24,49.67803192138672,50.06446498717072,49.33453841077838,50.035840800939035,10449144
2018-01-25,50.6369514465332,51.38119001179534,50.207582161543755,51.037696549300385,45728052
2018-01-29,50.279144287109375,51.15219497719759,49.94995962896409,51.09494661085155,10870470
2018-01-30,50.665584564208984,50.93751761910675,50.09309099131472,50.651272470573744,10192740
2018-01-31,48.47578811645508,49.23433869749842,47.9462309704491,49.01965407632354,43235283
2018-02-01,46.243072509765625,49.005348789092544,46.11426368467708,48.661852037200816,41361114
2018-02-02,43.46649169921875,46.22876845900942,42.994186040086774,46.21445636484351,39743727
2018-02-05,42.936927795410156,43.45216961862403,41.906440873154786,42.936927795410156,57654582
2018-02-06,42.70793151855469,43.02280079700792,40.07446418356305,40.07446418356305,41933931
2018-02-07,45.183956146240234,45.6848891247478,43.68116376237239,43.867224208580645,53579583
2018-02-08,45.386383056640625,45.906900949779036,44.67789944948777,45.906900949779036,21077784
2018-02-09,45.198421478271484,45.632187532033676,44.2441374837436,44.2441374837436,8938587
2018-02-12,45.61772155761719,45.71893538557118,45.039365809032184,45.690014785175876,6431490
2018-02-14,46.4418830871582,47.03469755143353,45.92136516837201,46.23945871665864,15063036
2018-02-15,45.386383056640625,46.89010545938411,45.169500049604274,46.6298465128149,10960020
2018-02-16,45.0249137878418,45.77677333792315,44.43209935009922,45.77677333792315,7547409
2018-02-19,44.30196762084961,45.111665055629345,43.73807048390543,45.111665055629345,10100100
2018-02-20,44.461021423339844,44.591152565888834,43.95495881064704,44.27305568826794,8543745
2018-02-21,43.622406005859375,44.75019709170598,43.39106432951577,44.48993811949098,11911635
2018-02-22,42.37894058227539,43.738073285298576,42.03192973755258,43.448897029800854,24507504
2018-02-23,43.65131759643555,43.8682005964965,42.33556095002389,43.04404453439049,34034544
2018-02-26,44.88032913208008,45.32855384581579,44.0417142975107,44.22968003381478,19477392
2018-02-27,44.20075988769531,45.343009570730835,44.012794163509575,45.25625437759852,10397679
2018-02-28,44.634517669677734,44.88031793757384,43.70914786719801,44.09953789065663,6432813
2018-03-01,44.33088684082031,44.80803212022632,44.27305225278522,44.77911151683661,4595199
